Alcohol,pH,Citric_Acid,Sulphates,Volatile_Acidity,Residual_Sugar,Quality
13.03,3.7,0.75,1.19,0.66,6.05,High Quality
10.85,3.7,0.14,0.8,0.59,3.71,Low Quality
13.58,3.37,0.14,1.06,0.23,1.31,High Quality
12.53,3.18,0.12,1.19,1.06,6.19,Medium Quality
8.61,3.59,0.54,0.43,0.29,11.54,Low Quality
14.34,3.5,0.36,0.7,0.24,8.11,High Quality
12.95,3.24,0.63,0.65,0.42,6.35,High Quality
13.11,2.99,0.55,0.37,0.26,2.04,High Quality
8.83,3.57,0.3,0.98,0.61,3.63,Medium Quality
10.93,3.14,0.72,0.69,0.66,4.1,Medium Quality
10.41,3.74,0.62,0.72,0.48,9.37,Medium Quality
14.02,3.12,0.25,0.44,0.25,10.62,High Quality
12.19,3.01,0.32,0.46,0.3,10.9,Medium Quality
13.35,3.65,0.29,1.12,0.55,11.83,High Quality
10.88,3.04,0.17,0.34,0.25,11.8,Medium Quality
9.48,3.06,0.16,0.51,0.83,11.47,Low Quality
11.6,3.44,0.75,0.56,0.39,1.6,High Quality
8.41,3.69,0.38,0.74,0.47,2.34,Low Quality
13.38,3.08,0.34,0.83,0.55,4.21,High Quality
12.11,3.18,0.6,0.74,0.57,6.99,Medium Quality
12.93,3.6,0.46,0.38,0.2,1.89,High Quality
10.3,3.77,0.75,0.52,0.3,10.27,Low Quality
14.31,3.35,0.64,1.06,0.98,7.71,High Quality
13.81,3.03,0.41,0.87,0.2,6.87,High Quality
13.06,2.91,0.33,0.88,0.66,2.65,High Quality
9.27,3.11,0.79,0.9,0.64,3.64,Medium Quality
11.03,3.02,0.59,0.99,0.5,2.6,Medium Quality
8.28,3.51,0.76,0.35,0.59,10.34,Low Quality
9.0,3.01,0.14,0.63,0.9,7.34,Low Quality
12.44,3.36,0.69,0.79,0.96,9.03,Medium Quality
12.84,3.52,0.53,0.6,0.43,4.12,High Quality
14.29,3.42,0.14,1.06,0.49,4.96,High Quality
10.12,3.08,0.49,0.73,0.42,5.33,High Quality
10.41,3.62,0.56,0.99,0.63,9.31,Medium Quality
11.05,3.54,0.06,1.07,0.81,9.45,Medium Quality
9.23,3.57,0.39,0.75,0.41,3.12,Low Quality
8.84,3.02,0.67,1.12,0.5,11.35,Low Quality
11.09,3.01,0.27,0.83,1.04,2.15,Medium Quality
9.47,3.73,0.39,1.07,0.24,10.84,Medium Quality
12.35,3.26,0.38,0.61,0.61,1.92,High Quality
10.84,3.17,0.28,0.75,0.84,3.76,Low Quality
13.41,3.34,0.74,0.78,0.34,10.28,High Quality
12.55,3.5,0.64,0.39,0.24,2.81,Medium Quality
10.03,3.76,0.13,0.66,0.32,5.43,Medium Quality
13.41,3.16,0.8,1.13,1.03,5.84,High Quality
13.23,3.73,0.71,0.87,0.21,3.55,High Quality
10.52,2.92,0.26,0.46,0.37,8.75,Low Quality
9.87,3.4,0.68,0.6,0.23,10.33,Medium Quality
12.44,3.47,0.13,0.47,0.3,10.6,Medium Quality
8.91,3.0,0.8,0.32,0.76,4.6,Low Quality
9.3,3.03,0.55,1.13,0.42,6.75,Medium Quality
8.05,3.28,0.54,0.7,0.71,3.58,Low Quality
13.12,3.77,0.12,0.58,0.73,3.54,High Quality
12.32,3.44,0.72,0.84,0.96,2.61,High Quality
12.58,3.74,0.07,0.31,0.2,11.33,High Quality
13.07,3.62,0.23,0.55,0.97,10.75,Medium Quality
10.98,3.32,0.16,0.93,0.76,9.51,Medium Quality
11.7,3.61,0.63,0.87,0.35,6.6,High Quality
8.91,2.92,0.2,1.18,0.9,6.29,Low Quality
8.74,3.0,0.73,0.86,0.97,6.73,Low Quality
12.34,3.65,0.54,0.73,0.43,6.81,High Quality
11.06,3.62,0.08,0.99,1.03,5.67,Low Quality
11.67,3.11,0.05,1.11,0.61,2.28,Medium Quality
12.97,3.38,0.09,0.95,0.74,2.21,High Quality
12.13,3.45,0.5,1.17,1.09,11.47,High Quality
11.6,3.68,0.65,1.0,0.53,6.2,High Quality
11.63,3.44,0.23,1.08,0.93,11.48,Medium Quality
9.98,3.27,0.69,0.4,0.49,2.63,Low Quality
8.2,3.24,0.09,0.96,0.92,7.01,Low Quality
10.84,3.28,0.65,0.7,0.74,3.13,Medium Quality
